Variety,GB Grade,Area (hectare),County,Producer
INNOVATOR,S,4.3,Angus,McCain Potatoes
ROYAL,S,10.5,Kincardine,McCain Potatoes
CHARLOTTE,SE,4.8,Kincardine,Messrs David A Officer
MARIS PEER,S,1.2,Kincardine,Messrs David A Officer
MARIS PEER,S,7.8,Kincardine,Messrs David A Officer
GEMSON,SE,1.3,Kincardine,Grampian Growers
GEMSON,SE,3.5,Kincardine,Grampian Growers
KING EDWARD,S,5.2,Perth,John Bryden (Potatoes) Ltd
KING EDWARD,S,4.2,Perth,John Bryden (Potatoes) Ltd
MARIS PIPER,S,1.2,Perth,John Bryden (Potatoes) Ltd
MARIS PIPER,S,4.8,Perth,John Bryden (Potatoes) Ltd
MARIS PIPER,S,4.1,Perth,John Bryden (Potatoes) Ltd
KING EDWARD,S,4.3,Perth,John Bryden (Potatoes) Ltd
KING EDWARD,S,3.5,Perth,John Bryden (Potatoes) Ltd
KING EDWARD,S,1.8,Perth,John Bryden (Potatoes) Ltd
MARIS PIPER,S,4.2,Perth,John Bryden (Potatoes) Ltd
DESIREE,S,0.6,Perth,John Bryden (Potatoes) Ltd
MARIS PEER,S,0.7,Perth,John Bryden (Potatoes) Ltd
ARRAN PILOT,S,1.1,Perth,John Bryden (Potatoes) Ltd
KING EDWARD,S,5.7,Perth,John Bryden (Potatoes) Ltd
MARIS PIPER,SE,1.9,Perth,John Bryden (Potatoes) Ltd
MARIS PIPER,S,5.9,Perth,John Bryden (Potatoes) Ltd
MARIS PIPER,S,6,Perth,John Bryden (Potatoes) Ltd
MARIS PEER,S,4.7,Perth,John Bryden (Potatoes) Ltd
EUROSTAR,E,0.8,Perth,Stet Potato Ltd
ARRAN PILOT,S,1.4,Perth,John Bryden (Potatoes) Ltd
BROOKE,PB,7.78,Ross,Saltire Seed Ltd
CARA,SE,7.5,Aberdeen,Hilton Potatoes Ltd
CARA,S,0.7,Aberdeen,Hilton Potatoes Ltd
SLANEY,SE,5.8,Aberdeen,IPM Potato Group Ltd
SLANEY,S,0.7,Aberdeen,IPM Potato Group Ltd
BROOKE,S,1.2,Ross,Saltire Seed Ltd
SLANEY,SE,6.4,Aberdeen,IPM Potato Group Ltd
BURREN,SE,6.7,Aberdeen,IPM Potato Group Ltd
BROOKE,S,6.3,Ross,Saltire Seed Ltd
BROOKE,S,1.1,Ross,Saltire Seed Ltd
BURREN,S,0.8,Aberdeen,IPM Potato Group Ltd
BURREN,SE,2.4,Aberdeen,IPM Potato Group Ltd
DESIREE,S,6.5,Aberdeen,Hilton Potatoes Ltd
DESIREE,S,3,Aberdeen,Hilton Potatoes Ltd
HERMES,SE,1.7,Aberdeen,Hilton Potatoes Ltd
SHARPE'S EXPRESS,E,1.1,Aberdeen,Hilton Potatoes Ltd
JAZZY,S,4.9,Aberdeen,Meijer Potato UK
HERMES,S,0.8,Banff,Hilton Potatoes Ltd
HERMES,SE,6.2,Banff,Hilton Potatoes Ltd
CHARLOTTE,S,1.4,Aberdeen,Hilton Potatoes Ltd
CHARLOTTE,S,2.2,Aberdeen,Hilton Potatoes Ltd
JAZZY,S,1.4,Aberdeen,Meijer Potato UK
JAZZY,S,5.9,Aberdeen,Meijer Potato UK
CHARLOTTE,S,5.8,Aberdeen,Hilton Potatoes Ltd
CARA,S,0.8,Aberdeen,Millfield Potatoes Ltd
DUKE OF YORK,SE,0.2,Aberdeen,Millfield Potatoes Ltd
JAZZY,PB,0.27,Nairn,Meijer Potato UK
LADY ALICIA,PB,0.19,Nairn,Meijer Potato UK
MELODY,PB,0.18,Nairn,Meijer Potato UK
LADY ALICIA,PB,1.06,Nairn,Meijer Potato UK
LUCERA,S,0.1,Aberdeen,Branston Ltd
RAMOS,PB,0.09,Nairn,Stet Potato Ltd
EUROSTAR,PB,0.27,Nairn,Stet Potato Ltd
SH C 1010,PB,0.09,Nairn,Stet Potato Ltd
CAMEL,PB,0.11,Nairn,Stet Potato Ltd
CARA,SE,4,Aberdeen,Millfield Potatoes Ltd
HERMES,S,0.6,Aberdeen,Millfield Potatoes Ltd
HARRY,S,1.5,Angus,Cullen Allen Ltd
HARRY,S,3.8,Angus,Cullen Allen Ltd
ADIB,S,0.9,Aberdeen,Cullen Allen Ltd
CARA,S,5.6,Perth,J G Skea
SUNSET,S,2,Aberdeen,Cygnet PEP Ltd
CARA,PB,0.03,Aberdeen,Fortrie Farms Ltd
LA STRADA,S,2.5,Aberdeen,Cygnet PEP Ltd
CARA,PB,0.01,Aberdeen,Wolds Produce Ltd
CARA,PB,0.06,Aberdeen,Wolds Produce Ltd
CARA,PB,0.05,Aberdeen,Fortrie Farms Ltd
CARA,PB,0.24,Aberdeen,Wolds Produce Ltd
ADIB,PB,0.02,Aberdeen,Cullen Allen Ltd
CULTRA,PB,0.02,Aberdeen,Cullen Allen Ltd
SORAYA,PB,0.04,Aberdeen,Cullen Allen Ltd
CARA,S,2.6,Aberdeen,Wolds Produce Ltd
CARA,S,4.3,Aberdeen,Wolds Produce Ltd
CARA,S,4.8,Aberdeen,Wolds Produce Ltd
MARKIES,S,0.9,Aberdeen,Agrico UK Ltd
MARKIES,S,1.4,Aberdeen,Agrico UK Ltd
ATLANTIC,S,3.5,Aberdeen,Cygnet PEP Ltd
ATLANTIC,S,4.3,Aberdeen,Cygnet PEP Ltd
ATLANTIC,S,5,Aberdeen,Cygnet PEP Ltd
ATLANTIC,S,3.6,Aberdeen,Cygnet PEP Ltd
ATLANTIC,S,3.1,Aberdeen,Cygnet PEP Ltd
ATLANTIC,S,3.3,Aberdeen,Cygnet PEP Ltd
CARA,S,6.4,Berwick,Saltire Seed Ltd
ARSENAL,S,4,Aberdeen,Agrico UK Ltd
MARFONA,S,0.6,Aberdeen,Agrico UK Ltd
MARFONA,SE,3.4,Aberdeen,Agrico UK Ltd
INNOVATOR,S,9.5,Kincardine,McCain Potatoes
MARFONA,SE,0.6,Aberdeen,Agrico UK Ltd
MARKIES,S,2,Berwick,Agrico UK Ltd
JAZZY,E,2,Kincardine,Meijer Potato UK
CARA,SE,8.6,Angus,IPM Potato Group Ltd
JAZZY,E,4.9,Kincardine,Meijer Potato UK
BURREN,SE,5.3,Angus,IPM Potato Group Ltd
BANBA,SE,0.3,Angus,IPM Potato Group Ltd
ROOSTER,SE,0.8,Angus,IPM Potato Group Ltd
BANBA,SE,3,Angus,IPM Potato Group Ltd
CARA,SE,5,Angus,IPM Potato Group Ltd
ROOSTER,SE,4.2,Angus,IPM Potato Group Ltd
ROOSTER,S,0.8,Angus,IPM Potato Group Ltd
MARKIES,S,5.6,Angus,Agrico UK Ltd
BANBA,SE,0.8,Angus,IPM Potato Group Ltd
MARKIES,S,0.6,Angus,Agrico UK Ltd
BURREN,S,1,Angus,IPM Potato Group Ltd
HERMES,S,2.4,Berwick,Saltire Seed Ltd
BURREN,SE,1.4,Angus,IPM Potato Group Ltd
CARA,S,0.7,Angus,IPM Potato Group Ltd
JACKY,E,0.1,Angus,Agrico UK Ltd
CAMMEO,PB,0.1,Nairn,Maincrop Potatoes Ltd
INNOVATOR,S,3.5,Perth,HZPC UK Limited
CAMMEO,PB,0.1,Nairn,Maincrop Potatoes Ltd
HERMES,S,5.4,Berwick,Saltire Seed Ltd
HERMES,S,6,Berwick,Saltire Seed Ltd
HERMES,S,6.2,Berwick,Saltire Seed Ltd
HERMES,S,6.1,Berwick,Saltire Seed Ltd
INNOVATOR,S,5.8,Perth,HZPC UK Limited
HERMES,S,2.2,Berwick,Saltire Seed Ltd
INNOVATOR,S,4,Perth,HZPC UK Limited
INNOVATOR,S,7,Perth,HZPC UK Limited
DESIREE,S,5.7,Fife,A & F Growers
INNOVATOR,S,2,Perth,HZPC UK Limited
CARA,SE,3.9,Aberdeen,Alan Twatt (Potato Merchants) Ltd
INNOVATOR,S,3,Perth,HZPC UK Limited
RUSSET BURBANK,S,6.5,Angus,McCain Potatoes
DAISY,S,5.6,Angus,McCain Potatoes
ATLANTIC,S,1.8,Perth,Cygnet PEP Ltd
DESIREE,S,1.1,Fife,A & F Growers
INNOVATOR,S,3.7,Angus,McCain Potatoes
INNOVATOR,S,3.8,Angus,McCain Potatoes
RUSSET BURBANK,S,5,Angus,McCain Potatoes
RUSSET BURBANK,S,2,Angus,McCain Potatoes
DESIREE,S,2.7,Fife,A & F Growers
MARIS PIPER,S,6.5,Fife,A & F Growers
SHEPODY,SE,3.3,Angus,McCain Potatoes
MARIS PIPER,S,1.2,Fife,A & F Growers
MARIS PIPER,S,2.1,Fife,A & F Growers
ATLANTIC,S,6,Perth,Cygnet PEP Ltd
SHEPODY,SE,2.9,Angus,McCain Potatoes
ATLANTIC,E,2,Perth,Cygnet PEP Ltd
HERMES,SE,6,Perth,Cygnet PEP Ltd
HERMES,S,12,Perth,Cygnet PEP Ltd
ATLANTIC,E,3.5,Perth,Cygnet PEP Ltd
CARA,SE,4.5,Angus,IPM Potato Group Ltd
ROOSTER,S,0.7,Angus,IPM Potato Group Ltd
ROOSTER,SE,4,Angus,IPM Potato Group Ltd
BANBA,S,0.7,Angus,IPM Potato Group Ltd
DAISY,S,11.3,Perth,McCain Potatoes
BANBA,SE,5,Angus,IPM Potato Group Ltd
BARNA,S,0.5,Angus,IPM Potato Group Ltd
BARNA,SE,5,Angus,IPM Potato Group Ltd
ROYAL,S,4.8,Perth,McCain Potatoes
HERMES,S,6.1,Berwick,Saltire Seed Ltd
KING EDWARD,S,5.9,Fife,A & F Growers
MARIS PEER,S,4.3,Berwick,Fans Farming
BROOKE,S,0.8,Berwick,Saltire Seed Ltd
HERMES,S,0.7,Fife,A & F Growers
BROOKE,S,5.1,Berwick,Saltire Seed Ltd
BROOKE,S,3.6,Berwick,Saltire Seed Ltd
ADIB,S,2.3,Aberdeen,Cullen Allen Ltd
BROOKE,S,4,Berwick,Saltire Seed Ltd
CARA,S,0.8,Aberdeen,Cullen Allen Ltd
HERMES,S,7.2,Fife,A & F Growers
LADY ROSETTA,SE,6.3,Angus,Meijer Potato UK
BROOKE,S,4.1,Berwick,Saltire Seed Ltd
CARA,SE,5.2,Aberdeen,Cullen Allen Ltd
BROOKE,S,3.2,Berwick,Saltire Seed Ltd
BROOKE,S,3.3,Berwick,Saltire Seed Ltd
BROOKE,S,3.5,Berwick,Saltire Seed Ltd
BROOKE,S,3,Berwick,Saltire Seed Ltd
LADY ROSETTA,S,3.6,Angus,Meijer Potato UK
CULTRA,S,0.8,Aberdeen,Cullen Allen Ltd
BROOKE,S,2.4,Berwick,Saltire Seed Ltd
MARIS PEER,S,5,Perth,Yoolow Potatoes Ltd
LADY ROSETTA,S,2.9,Angus,Meijer Potato UK
CULTRA,S,0.2,Aberdeen,Cullen Allen Ltd
HERMES,S,3,Aberdeen,Saltire Seed Ltd
HERMES,S,4,Aberdeen,Saltire Seed Ltd
CULTRA,S,2.3,Aberdeen,Cullen Allen Ltd
VR 808,S,3.3,Berwick,Stet Potato Ltd for Saltire Seed Ltd
MARIS PEER,S,5,Perth,Yoolow Potatoes Ltd
HERMES,S,5.2,Aberdeen,Saltire Seed Ltd
HERMES,S,0.8,Aberdeen,Saltire Seed Ltd
SORAYA,S,1,Aberdeen,Cullen Allen Ltd
VR 808,S,4,Berwick,Stet Potato Ltd for Saltire Seed Ltd
HERMES,S,1.2,Angus,Saltire Seed Ltd
HERMES,PB,0.96,Aberdeen,Cygnet PEP Ltd
HERMES,PB,2.14,Aberdeen,Cygnet PEP Ltd
SORAYA,S,5,Aberdeen,Cullen Allen Ltd
BROOKE,S,3.6,Angus,Saltire Seed Ltd
HERMES,PB,1.09,Aberdeen,Cygnet PEP Ltd
HERMES,PB,0.46,Aberdeen,Saltire Seed Ltd
ATLANTIC,PB,2.05,Aberdeen,Cygnet PEP Ltd
BROOKE,SE,2.9,Angus,Saltire Seed Ltd
ATLANTIC,PB,2.19,Aberdeen,Cygnet PEP Ltd
ATLANTIC,PB,0.76,Aberdeen,Cygnet PEP Ltd
ATLANTIC,PB,1.06,Aberdeen,Cygnet PEP Ltd
MARIS PIPER,S,0.8,Angus,Messrs David A Officer
MARFONA,PB,0.2,Aberdeen,Agrico UK Ltd
MARFONA,PB,1.5,Aberdeen,Agrico UK Ltd
MARIS PIPER,SE,0.6,Angus,Messrs David A Officer
LA STRADA,PB,2.3,Aberdeen,Cygnet PEP Ltd
LA STRADA,PB,1.62,Aberdeen,Cygnet PEP Ltd
LA STRADA,S,1.3,Aberdeen,Cygnet PEP Ltd
JAZZY,S,2.5,Angus,Meijer Potato UK
LADY ANNA,S,0.6,Angus,Meijer Potato UK
MARIS PEER,PB,1,Aberdeen,A T Wilson & Co
MARIS PEER,PB,1,Aberdeen,A T Wilson & Co
LADY ANNA,S,1.3,Angus,Meijer Potato UK
PIROL,SE,5.1,Aberdeen,Saltire Seed Ltd
PIROL,S,5,Aberdeen,Saltire Seed Ltd
VR 808,S,4,Berwick,Stet Potato Ltd for Saltire Seed Ltd
VR 808,S,2.5,Berwick,Stet Potato Ltd for Saltire Seed Ltd
VR 808,S,2.3,Berwick,Stet Potato Ltd for Saltire Seed Ltd
VR 808,S,3.9,Berwick,Stet Potato Ltd for Saltire Seed Ltd
VR 808,S,4.4,Berwick,Stet Potato Ltd for Saltire Seed Ltd
VR 808,S,2.3,Berwick,Stet Potato Ltd for Saltire Seed Ltd
VR 808,SE,3.3,Berwick,Stet Potato Ltd for Saltire Seed Ltd
VR 808,SE,4,Berwick,Stet Potato Ltd for Saltire Seed Ltd
VR 808,S,2.7,Berwick,Stet Potato Ltd for Saltire Seed Ltd
VR 808,SE,1.3,Berwick,Stet Potato Ltd for Saltire Seed Ltd
VR 808,S,2.2,Berwick,Stet Potato Ltd for Saltire Seed Ltd
VR 808,S,3.5,Berwick,Stet Potato Ltd for Saltire Seed Ltd
VR 808,S,3.1,Berwick,Stet Potato Ltd for Saltire Seed Ltd
SHELFORD,S,1.5,Berwick,Saltire Seed Ltd
SHELFORD,S,3.7,Berwick,Saltire Seed Ltd
SHELFORD,S,2.3,Berwick,Saltire Seed Ltd
SHELFORD,S,2.1,Berwick,Saltire Seed Ltd
CHARLOTTE,S,4.4,Berwick,Greenseed International
CHARLOTTE,S,1.9,Berwick,Greenseed International
MARIS PEER,S,1,Berwick,Fans Farming
CARA,S,2.7,Kinross,D A Baillie Ltd
ARSENAL,S,0.5,Berwick,Agrico UK Ltd
ARSENAL,S,3,Berwick,Agrico UK Ltd
MARIS PIPER,S,2.7,Kinross,D A Baillie Ltd
HERMES,SE,4.7,Kinross,D A Baillie Ltd
CULTRA,S,0.7,Kinross,Cullen Allen Ltd
LADY AMARILLA,S,4.4,Angus,Meijer Potato UK
VR 808,S,3.1,Angus,Stet Potato Ltd for Saltire Seed Ltd
BROOKE,S,5.6,Angus,Saltire Seed Ltd
HERMES,S,3.5,Angus,Saltire Seed Ltd
LADY CLAIRE,SE,3.8,Angus,Meijer Potato UK
LADY CLAIRE,S,2.5,Angus,Meijer Potato UK
HERMES,S,1,Angus,Saltire Seed Ltd
VR 808,S,3.2,Angus,Stet Potato Ltd for Saltire Seed Ltd
DESIREE,E,3,Aberdeen,Cairngall Farms
CARA,SE,6,Aberdeen,Cairngall Farms
CARA,SE,7.5,Aberdeen,Cairngall Farms
CARA,SE,4.5,Aberdeen,Cairngall Farms
CARA,S,0.5,Aberdeen,Cairngall Farms
MARIS PIPER,SE,0.7,Aberdeen,Cairngall Farms
CARA,E,0.7,Aberdeen,Clyde Potatoes Seeds Ltd
CARA,E,4,Aberdeen,Cairngall Farms
DESIREE,SE,2,Aberdeen,Cairngall Farms
MARIS PIPER,S,1,Aberdeen,Cairngall Farms
MARIS PIPER,SE,0.5,Aberdeen,Cairngall Farms
MARFONA,S,2.2,Aberdeen,Cairngall Farms
MARIS BARD,SE,1.5,Aberdeen,Cairngall Farms
MARIS PIPER,SE,1.8,Aberdeen,Cairngall Farms
DESIREE,SE,1.5,Aberdeen,Cairngall Farms
HERMES,SE,2,Aberdeen,Cairngall Farms
AMANDA,SE,2.4,Angus,Solana Seeds United Kingdom Ltd
CULTRA,SE,6.5,Kinross,Cullen Allen Ltd
CULTRA,S,2.1,Kinross,Cullen Allen Ltd
CARA,S,8.2,Angus,Ovenstone Ltd
MARIS PIPER,S,11.7,Kinross,D A Baillie Ltd
CARA,S,2,Angus,Ovenstone Ltd
MARIS PEER,S,4.2,Kinross,D A Baillie Ltd
CARA,S,5.2,Angus,Ovenstone Ltd
MARIS PIPER,S,14.5,Perth,D A Baillie Ltd
DESIREE,S,7.3,Angus,Ovenstone Ltd
HERMES,SE,21.1,Perth,D A Baillie Ltd
HERMES,SE,19,Perth,D A Baillie Ltd
HERMES,S,2.7,Perth,D A Baillie Ltd
CARA,S,6.2,Angus,Ovenstone Ltd
HERMES,SE,7,Kinross,D A Baillie Ltd
HERMES,S,1.8,Angus,Ovenstone Ltd
HERMES,SE,6,Kinross,D A Baillie Ltd
HERMES,E,3.9,Angus,Ovenstone Ltd
VERDI,S,10,Angus,Solana Seeds United Kingdom Ltd
BANBA,SE,5.3,Angus,IPM Potato Group Ltd
BANBA,S,0.8,Angus,IPM Potato Group Ltd
DESIREE,S,10.2,Angus,Ovenstone Ltd
DESIREE,S,5.2,Angus,Ovenstone Ltd
CULTRA,S,1.3,Angus,Cullen Allen Ltd
CULTRA,S,6.6,Angus,Cullen Allen Ltd
MARKIES,S,0.8,Angus,Agrico UK Ltd
MARKIES,SE,3.1,Angus,Agrico UK Ltd
MARKIES,SE,1.8,Angus,Agrico UK Ltd
MARIS PIPER,S,3.2,Angus,Ovenstone Ltd
MARIS PIPER,E,6.5,Angus,Ovenstone Ltd
HERMES,SE,8.1,Angus,Ovenstone Ltd
HERMES,SE,7.3,Angus,Ovenstone Ltd
DESIREE,SE,11.6,Angus,Ovenstone Ltd
DESIREE,S,8.2,Angus,Ovenstone Ltd
SORAYA,S,6.5,Angus,Cullen Allen Ltd
EDISON,SE,1.1,Angus,Solana Seeds United Kingdom Ltd
DESIREE,SE,6.7,Angus,Ovenstone Ltd
EDISON,SE,3.4,Perth,Solana Seeds United Kingdom Ltd
EDISON,SE,1.4,Perth,Solana Seeds United Kingdom Ltd
CARUSO,SE,4.3,Angus,Solana Seeds United Kingdom Ltd
SORAYA,S,1,Angus,Cullen Allen Ltd
VENEZIA,SE,4.1,Angus,Greenvale AP
DESIREE,SE,3.6,Perth,Ovenstone Ltd
MARIS PIPER,E,4.3,Perth,Ovenstone Ltd
CARA,SE,0.8,Perth,Prospects Marketing & Trading UK Ltd
CARA,SE,4,Aberdeen,Millfield Potatoes Ltd
HERMES,S,3.8,Aberdeen,Millfield Potatoes Ltd
HERMES,S,1.6,Aberdeen,Millfield Potatoes Ltd
DESIREE,SE,6.3,Aberdeen,B Keir & Son
MARIS PIPER,SE,1.5,Aberdeen,B Keir & Son
DESIREE,S,1.7,Aberdeen,B Keir & Son
CARA,E,4.8,Aberdeen,B Keir & Son
HERMES,S,1.7,Aberdeen,B Keir & Son
HERMES,E,2.1,Aberdeen,B Keir & Son
CARA,E,3.7,Aberdeen,B Keir & Son
HERMES,E,10.2,Aberdeen,B Keir & Son
CARA,S,0.9,Aberdeen,B Keir & Son
CARA,SE,5.4,Aberdeen,B Keir & Son
HERMES,S,0.4,Aberdeen,Cygnet PEP Ltd
BANBA,PB,0.4,Aberdeen,IPM Potato Group Ltd
BANBA,PB,2.1,Aberdeen,IPM Potato Group Ltd
HARRY,PB,0.4,Aberdeen,Cullen Allen Ltd
ATLANTIC,SE,1,Perth,Cygnet PEP Ltd
HARRY,PB,0.2,Aberdeen,Cullen Allen Ltd
BROOKE,PB,0.46,Aberdeen,Saltire Seed Ltd
BROOKE,PB,1.24,Aberdeen,Saltire Seed Ltd
BROOKE,PB,2.44,Aberdeen,Saltire Seed Ltd
BROOKE,S,4.6,Aberdeen,Saltire Seed Ltd
BROOKE,S,5.5,Aberdeen,Saltire Seed Ltd
HARRY,PB,0.4,Aberdeen,Cullen Allen Ltd
HARRY,PB,0.3,Aberdeen,Cullen Allen Ltd
RUSSET BURBANK,PB,1.2,Aberdeen,Cygnet PEP Ltd
HERMES,PB,0.4,Aberdeen,Strathmore Potatoes Ltd
MARIS PEER,S,4.2,Perth,Yoolow Potatoes Ltd
MARIS PEER,PB,0.7,Aberdeen,A T Wilson & Co
SHELFORD,S,2.8,Aberdeen,Saltire Seed Ltd
SHELFORD,S,4.8,Aberdeen,Saltire Seed Ltd
MARKIES,S,2,Perth,Agrico UK Ltd
SHELFORD,S,1.5,Aberdeen,Saltire Seed Ltd
SHELFORD,S,2.9,Angus,Saltire Seed Ltd
MARIS BARD,S,0.4,Aberdeen,Cygnet PEP Ltd
MARIS BARD,PB,0.15,Aberdeen,Wolds Produce Ltd
DESIREE,PB,0.34,Aberdeen,Cygnet PEP Ltd
LADY AMARILLA,S,1.9,Angus,Meijer Potato UK
RED KING EDWARD,PB,0.01,Aberdeen,Strathmore Potatoes Ltd
SIENA,PB,0.05,Perth,Mercian Limited
MARIS PEER,SE,6.1,Berwick,Scott Country Potatoes Ltd
TWINNER,PB,0.7,Aberdeen,Agrico UK Ltd
MARKIES,PB,0.4,Aberdeen,Agrico UK Ltd
SIENA,SE,0.1,Perth,Mercian Limited
SUNSET,PB,0.32,Aberdeen,Cygnet PEP Ltd
SUNSET,S,0.6,Aberdeen,Cygnet PEP Ltd
SAFIYAH,S,0.3,Aberdeen,Cygnet PEP Ltd
MARIS PEER,S,1.2,Berwick,Scott Country Potatoes Ltd
SAFIYAH,S,2.6,Aberdeen,Cygnet PEP Ltd
MARKIES,PB,0.3,Aberdeen,Agrico UK Ltd
MARKIES,PB,2.5,Aberdeen,Agrico UK Ltd
BROOKE,S,3.5,Angus,Saltire Seed Ltd
MARKIES,S,0.4,Aberdeen,Agrico UK Ltd
LADY ROSETTA,S,5.1,Roxburgh,Meijer Potato UK
HERMES,S,3,Angus,Saltire Seed Ltd
LADY ROSETTA,S,1.3,Roxburgh,Meijer Potato UK
LADY ROSETTA,S,1.7,Roxburgh,Meijer Potato UK
VR 808,S,3.1,Angus,Stet Potato Ltd for Saltire Seed Ltd
LADY ROSETTA,S,4,Roxburgh,Meijer Potato UK
LADY ROSETTA,S,5.1,Roxburgh,Meijer Potato UK
LADY CLAIRE,S,2,Angus,Meijer Potato UK
LADY ROSETTA,S,4.9,Roxburgh,Meijer Potato UK
GEMSON,S,0.2,Angus,Grampian Growers
LADY CLAIRE,S,2.5,Angus,Meijer Potato UK
VR 808,S,0.4,Angus,Stet Potato Ltd for Saltire Seed Ltd
GEMSON,S,0.9,Angus,Grampian Growers
LADY CLAIRE,S,5.6,Roxburgh,Meijer Potato UK
HERMES,S,3.3,Angus,Saltire Seed Ltd
LADY CLAIRE,S,4.5,Roxburgh,Meijer Potato UK
LADY CLAIRE,S,5.1,Roxburgh,Meijer Potato UK
LADY CLAIRE,S,4.7,Roxburgh,Meijer Potato UK
ATLANTIC,S,2,Perth,Cygnet PEP Ltd
LADY JO,S,3.2,Roxburgh,Meijer Potato UK
LADY JO,S,5.2,Roxburgh,Meijer Potato UK
MARFONA,SE,3.7,Berwick,Wolds Produce Ltd
MARFONA,S,3.1,Berwick,Wolds Produce Ltd
VR 808,SE,2.8,Roxburgh,Stet Potato Ltd
GEMSON,S,3,Perth,Grampian Growers
GWENNE,PB,0.04,Aberdeen,Germicopa UK Ltd
BABY LOU,S,5.8,Perth,Solana Seeds United Kingdom Ltd
BROOKE,S,3.4,Roxburgh,Wolds Produce Ltd
BROOKE,S,2.6,Roxburgh,Wolds Produce Ltd
VANILLA,PB,0.29,Aberdeen,IPM Potato Group Ltd
VANILLA,PB,1.45,Aberdeen,IPM Potato Group Ltd
RED CARA,PB,0.02,Aberdeen,IPM Potato Group Ltd
SENSATION,PB,1.4,Aberdeen,IPM Potato Group Ltd
ATLANTIC,S,4.8,Perth,Grampian Growers
SAGITTA,S,4.6,Berwick,HZPC UK Limited
RUSSET BURBANK,PB,0.06,Aberdeen,Cygnet PEP Ltd
NIETA,S,2.5,Perth,Bennett Seed Exports Ltd
SENSATION,PB,0.15,Aberdeen,IPM Potato Group Ltd
SAGITTA,S,2.2,Roxburgh,HZPC UK Limited
SAGITTA,S,4.7,Roxburgh,HZPC UK Limited
NIETA,S,1.3,Perth,Bennett Seed Exports Ltd
SAGITTA,S,1.1,Roxburgh,HZPC UK Limited
RUSSET BURBANK,S,11.8,Aberdeen,Cygnet PEP Ltd
EUROSTAR,S,0.9,Roxburgh,Stet Potato Ltd
EUROSTAR,S,0.4,Roxburgh,Stet Potato Ltd
EUROSTAR,S,0.8,Roxburgh,Stet Potato Ltd
ATLANTIC,S,1.5,Aberdeen,Cygnet PEP Ltd
VR 808,PB,0.44,Aberdeen,Stet Potato Ltd for Saltire Seed Ltd
VR 808,PB,1.78,Aberdeen,Stet Potato Ltd for Saltire Seed Ltd
VR 808,PB,1.55,Aberdeen,Stet Potato Ltd for Saltire Seed Ltd
MARVEL,S,0.6,Perth,Caledonia Potatoes Ltd
ATLANTIC,S,3,Aberdeen,Cygnet PEP Ltd
LADY ROSETTA,S,0.3,Angus,Meijer Potato UK
ATLANTIC,E,3,Aberdeen,Cygnet PEP Ltd
MARKIES,S,1,Roxburgh,Agrico UK Ltd
BUTE,S,1.1,Perth,Caledonia Potatoes Ltd
MARKIES,S,4.1,Roxburgh,Agrico UK Ltd
LADY AMARILLA,S,1.4,Angus,Meijer Potato UK
MARKIES,S,3.5,Roxburgh,Agrico UK Ltd
TYSON,SE,4,Perth,Stet for Greenvale AP
ATLANTIC,S,3,Aberdeen,Cygnet PEP Ltd
ARSENAL,S,0.5,Roxburgh,Agrico UK Ltd
ARSENAL,S,3.8,Roxburgh,Agrico UK Ltd
VALOR,S,6.3,Perth,Caledonia Potatoes Ltd
DECIBEL,PB,0.04,Aberdeen,Germicopa UK Ltd
VALOR,SE,4.8,Perth,Caledonia Potatoes Ltd
CATRIONA,S,0.1,Angus,Whitewater Potatoes Ltd
SIENA,S,0.4,Angus,Mercian Limited
HARMONY,S,1.3,Perth,Caledonia Potatoes Ltd
CARA,SE,4,Aberdeen,Cygnet PEP Ltd
CARA,PB,0.04,Aberdeen,IPM Potato Group Ltd
RED KING EDWARD,S,0.1,Angus,Whitewater Potatoes Ltd
CARA,PB,0.02,Aberdeen,Strathmore Potatoes Ltd
YUKON GOLD,S,0.1,Angus,Whitewater Potatoes Ltd
HERMES,S,3,Aberdeen,Cygnet PEP Ltd
MORENE,S,3,Perth,McCain Potatoes
BANBA,PB,0.04,Aberdeen,IPM Potato Group Ltd
TYSON,S,5.3,Berwick,Stet for Greenvale AP
GEMSON,S,0.8,Perth,Grampian Growers
MARIS PIPER,S,5.2,Perth,FIMM Potatoes Co Ltd
HERMES,S,1,Aberdeen,Cygnet PEP Ltd
MARIS PIPER,SE,2.9,Perth,FIMM Potatoes Co Ltd
PUNCHY,PB,0.08,Aberdeen,Germicopa UK Ltd
MARIS PIPER,S,0.9,Perth,FIMM Potatoes Co Ltd
HERMES,S,3.5,Aberdeen,Cygnet PEP Ltd
CARA,SE,4.4,Aberdeen,Alan Twatt (Potato Merchants) Ltd
CARA,SE,4.6,Aberdeen,Alan Twatt (Potato Merchants) Ltd
MANITOU,PB,0.04,Aberdeen,Agrico UK Ltd
HERMES,S,2,Aberdeen,Cygnet PEP Ltd
HERMES,SE,2.7,Aberdeen,Alan Twatt (Potatoes) Ltd
HERMES,SE,1.5,Aberdeen,Alan Twatt (Potatoes) Ltd
CARA,S,1.1,Aberdeen,Alan Twatt (Potato Merchants) Ltd
SAFIYAH,S,1.5,Aberdeen,Cygnet PEP Ltd
ATLANTIC,PB,0.08,Aberdeen,Cygnet PEP Ltd
LA STRADA,PB,0.04,Aberdeen,Cygnet PEP Ltd
